model,top_k,kendall_tau,spearman_rho,cosine_sim,pearson
none,0.45538,0.44749461386352773,0.5898453150838614,0.6787460642307996,0.6786454904228448
at,0.77352,0.8000678958892822,0.9229134215116501,0.9497077947854995,0.9491016791462898
at+cosine,0.7024600000000001,0.7347707411646842,0.8803887431919575,0.9133945717215537,0.9133021866381169
at+diff_kendall,0.71212,0.7439693154096604,0.886720422178507,0.9194819610416889,0.919373844563961
at+soft_spearman,0.71116,0.7421356939971446,0.8866625202596188,0.9208832791447639,0.9208351770043374
at+pearson,0.67889,0.6955658459216356,0.8467982697486878,0.8904859738051891,0.8904401118457317
trades,0.7984899999999999,0.8295509634912014,0.9422701869606971,0.9623035902976989,0.9620395152568817
trades+cosine,0.7085,0.7410993564724923,0.8848371515274047,0.9142655017375946,0.9138880787491799
trades+diff_kendall,0.72932,0.7826268382072449,0.915642523944378,0.9341205155849457,0.9339639925956726
trades+soft_spearman,0.75395,0.7860037917494773,0.9178180212378502,0.9426131199002267,0.942331598162651
trades+pearson,0.72933,0.7578049308359623,0.8966828038096428,0.9271051355600356,0.9269401829242707
mart,0.78772,0.8129263463020324,0.9261128864288329,0.9509386469721793,0.9499980444312095
mart+cosine,0.70393,0.7280032297074795,0.8715537538528443,0.9118292018771171,0.9116004273891448
mart+diff_kendall,0.6802699999999999,0.7263696650862694,0.8702633869647979,0.9050480768680572,0.9048249014616012
mart+soft_spearman,0.70245,0.7319156755208969,0.8756932295560838,0.9143007611036301,0.9141818488240242
mart+pearson,0.70736,0.7247541708350181,0.8710047776103019,0.9165082769393921,0.9162432023286818
