model,top_k,kendall_tau,spearman_rho,cosine_sim,pearson
none,0.6889700000000001,0.8084050659537315,0.9386656178832053,0.9384392926692963,0.938619999706745
at,0.87989,0.9312257466912269,0.9907371671795845,0.9904426128864288,0.9904170897006989
at+cosine,0.8057700000000001,0.8361491068005561,0.9546746324896812,0.9663084883093834,0.9663088437914847
at+diff_kendall,0.71923,0.8320497096180915,0.9549508624672889,0.9571803570985795,0.9571750566363335
at+soft_spearman,0.7291700000000001,0.8255843678116799,0.9496903811693193,0.9535874719619752,0.9535905714631081
at+pearson,0.79643,0.8977543378472328,0.9815560235977173,0.984896421790123,0.9848923390507698
trades,0.9107200000000001,0.9574829256534576,0.9962806047201157,0.9966138295531273,0.996600285410881
trades+cosine,0.92135,0.9288160278797151,0.9889467096328735,0.9918046314120292,0.9918450157642364
trades+diff_kendall,0.84017,0.9229256543517114,0.989287363231182,0.9906854620575904,0.9903123290538787
trades+soft_spearman,0.7806900000000001,0.829277704179287,0.9419837807416916,0.9512695028185844,0.9505568354129791
trades+pearson,0.8386099999999999,0.9091081379652023,0.9847523015141487,0.9860554437041283,0.9856011658906937
mart,0.90106,0.963611114680767,0.9975567725896836,0.997487100303173,0.9973611136674881
mart+cosine,0.75341,0.8416603329181671,0.9560324013829231,0.9602854956388474,0.9597969117164611
mart+diff_kendall,0.8124099999999999,0.881182554244995,0.9743635511994363,0.9772786346077919,0.9773825206756591
mart+soft_spearman,0.8496500000000001,0.9003902943134309,0.9798778167963027,0.9853181818723679,0.9853635001778602
mart+pearson,0.87989,0.9060099278688432,0.9827949340343476,0.9890407915711403,0.9891321794986725
