model,top_k,kendall_tau,spearman_rho,cosine_sim,pearson
none,0.25823999999999997,0.18028865351033163,0.2669250857015141,0.29206004885816944,0.28555223991139794
at,0.43922,0.10300070772517937,0.1489700366477482,0.2329952130470192,0.21445144130429253
at+cosine,0.4686,0.3318169077690691,0.48659538246691225,0.655788376674056,0.6456601489633321
at+diff_kendall,0.58638,0.5051990452687606,0.6833890074836091,0.731999384034425,0.7293891583941876
at+soft_spearman,0.4274,0.40480521829053756,0.5818977202624083,0.5251988429538905,0.5163829689342528
at+pearson,0.42421,0.30630337352957576,0.46699815307557585,0.5853076912462711,0.5757835420891643
trades,0.32653999999999994,0.3234023233652115,0.46049571824632585,0.16873406504979357,0.14545643976004793
trades+cosine,0.62108,0.42588511360157283,0.57306040854007,0.7771461783051491,0.7638958625793457
trades+diff_kendall,0.54466,0.4893200027644634,0.7061534101888538,0.5824737709313631,0.5622240245193243
trades+soft_spearman,0.48544,0.4361461005080491,0.5777918848718981,0.484741879443638,0.46646851842803877
trades+pearson,0.63018,0.43325053064711394,0.594799646852538,0.728268827110529,0.7247295383810997
mart,0.38395999999999997,0.2755306793114869,0.40214559193514293,0.11202467708440964,0.0809574058293947
mart+cosine,0.47596,0.33749091305118056,0.5384775698184967,0.6555452853143215,0.6432454827278853
mart+diff_kendall,0.5581699999999999,0.5192727536037565,0.6984134998470545,0.7344579185871407,0.7288649348905311
mart+soft_spearman,0.44782,0.4198888211660087,0.6440401017740369,0.5084802903942764,0.4980063749589026
mart+pearson,0.48746999999999996,0.3414482496418059,0.5328666847646236,0.649562543258071,0.6401161803901195
