model,top_k,kendall_tau,spearman_rho,cosine_sim,pearson
none,0.52618,0.1677732353117317,0.22481336832325907,0.6550111281275749,0.649432212203741
at,0.73921,0.1655288013704121,0.25234009461477397,0.32557550809532404,0.3064352033808827
at+cosine,0.70017,0.1920665014795959,0.24415818361891434,0.7621350264847279,0.7514412556886673
at+diff_kendall,0.68774,0.19475635132193564,0.34414879085868594,0.41805863614380356,0.39637956276535985
at+soft_spearman,0.7531000000000001,0.20601528184115886,0.41603062599897384,0.5983605542182923,0.5717703324556351
at+pearson,0.7123200000000001,0.18859155533462763,0.28629186676512475,0.7531865742206574,0.7432119460999965
trades,0.7255499999999999,0.16176762533187866,0.28923764056852086,0.3101480406671763,0.28730226260423664
trades+cosine,0.57101,0.16293818547576666,0.37370502439141273,0.5268731812536716,0.48741545349359516
trades+diff_kendall,0.71144,0.20046268228441474,0.48240772381424907,0.34937280736118553,0.3166647002696991
trades+soft_spearman,0.71619,0.21373830839991567,0.5209174436479806,0.19146255882829427,0.1417911591231823
trades+pearson,0.74049,0.2089262823984027,0.40493116959929465,0.477814989477396,0.4565569436699152
mart,0.7734,0.1520021297670901,0.2536957132034004,0.26973435410112145,0.24801622646301985
mart+cosine,0.72726,0.19423277642577888,0.7504730190373957,0.6845389847159385,0.6710578389465809
mart+diff_kendall,0.73224,0.23145325364370364,0.6010255892947316,0.6715423108451068,0.6486140768304467
mart+soft_spearman,0.7568699999999999,0.20231477051228283,0.7792162423431873,0.6338055856227875,0.6172411029338837
mart+pearson,0.7212500000000001,0.19907906985282897,0.7277930255234242,0.722001951545477,0.7101524095535279
