model,top_k,kendall_tau,spearman_rho,cosine_sim,pearson
none,0.46316000000000007,0.259157614113763,0.35273325497005137,0.4504775763284415,0.449965545706451
at,0.74432,0.5358827204555273,0.6366124010831118,0.7806407518088818,0.7760388462767005
at+cosine,0.79924,0.6376321042180061,0.7614267364740372,0.8745940665602685,0.8658148341774939
at+diff_kendall,0.77623,0.5951092225909234,0.7204110324680805,0.8493309925496579,0.8486369638144969
at+soft_spearman,0.81656,0.6041510840058326,0.7215588892102242,0.8739819717109203,0.8698214901387692
at+pearson,0.79132,0.5765144074857235,0.6930787506401539,0.8740397742092609,0.8710575636327267
trades,0.79661,0.561235741585493,0.6772798811495304,0.8556214555501939,0.8505716384351253
trades+cosine,0.80673,0.5653377980589867,0.6877450044155121,0.9344797829389572,0.9329462306499481
trades+diff_kendall,0.84324,0.9230645098090171,0.9866023442149162,0.9708852905929088,0.9705409536063672
trades+soft_spearman,0.8343299999999999,0.748078945338726,0.8777789894342423,0.9483779634237288,0.9463309368491173
trades+pearson,0.82046,0.6383377666771411,0.7558341769576072,0.929095772743225,0.9269750294089316
mart,0.36356,0.1664998870237032,0.2286674055934418,0.299636881235987,0.29663048137072473
mart+cosine,0.52369,0.2757050236351788,0.37699330173805357,0.6638126847893,0.6619112363308668
mart+diff_kendall,0.5445300000000001,0.31451641910523176,0.42787383927404876,0.5951214809939265,0.5949977620393038
mart+soft_spearman,0.7927599999999999,0.5837562767863274,0.7002863412499428,0.8746125651597977,0.8736535795927047
mart+pearson,0.55801,0.28857521158084276,0.39555692725628616,0.6527365201907231,0.6516708779381588
