model,top_k,kendall_tau,spearman_rho,cosine_sim,pearson
none,0.3761,0.578485966861248,0.7497034823894501,0.6235616596341134,0.6207626719474792
at,0.66629,0.6517812528908252,0.803548360645771,0.7716466640532017,0.7686198745667935
at+cosine,0.8044100000000001,0.7259068290889263,0.8571244645118714,0.8647396675944329,0.8555211193263531
at+diff_kendall,0.82494,0.9476688942313194,0.9955847473740578,0.990455512881279,0.9908902942538262
at+soft_spearman,0.82061,0.7537106567621231,0.8930411214828491,0.9223493785858154,0.9218390391469002
at+pearson,0.8262599999999999,0.7508901487588883,0.8898170374035835,0.9235070458650589,0.9247221863269806
trades,0.7663800000000001,0.7118681945800781,0.8597078187465668,0.9056809374690056,0.9070196835398674
trades+cosine,0.86403,0.7447252663373948,0.8846944211125374,0.96567030107975,0.9659006852507591
trades+diff_kendall,0.8270500000000001,0.9441055511832237,0.9953329069018364,0.9871286966800691,0.9871490162014961
trades+soft_spearman,0.8263199999999999,0.7095022743940353,0.8505191496014595,0.9734346330165863,0.9735899834632875
trades+pearson,0.8019700000000001,0.6728368106484414,0.8226825872063637,0.9588649743795395,0.9587018207907677
mart,0.65232,0.6671187323331832,0.8261233505606651,0.7892810250818729,0.7845906359553337
mart+cosine,0.80152,0.7480105319619179,0.8936156356334687,0.9532331224679946,0.9525453647971153
mart+diff_kendall,0.89689,0.9543853574395179,0.9957521929740907,0.9931068404316902,0.99334633654356
mart+soft_spearman,0.73993,0.7434872835874557,0.8924978365898133,0.9265536977648734,0.9315680702328681
mart+pearson,0.79494,0.7516639641523362,0.8973558418154717,0.948489031612873,0.950730440735817
